hit_id,x,y,z,volume_id,layer_id,module_id
46103.0,-105.453,2.30726,602.0,9.0,2.0,2.0
46104.0,-120.287,-12.1933,602.0,9.0,2.0,2.0
46105.0,-131.681,-0.106592,602.0,9.0,2.0,2.0
46106.0,-164.671,-3.0333,602.0,9.0,2.0,2.0
46107.0,-112.323,-12.4758,602.0,9.0,2.0,2.0
46108.0,-120.226,-13.4918,602.0,9.0,2.0,2.0
46109.0,-112.987,-7.95163,602.0,9.0,2.0,2.0
46110.0,-108.967,-10.8691,602.0,9.0,2.0,2.0
46111.0,-164.634,-9.5886,602.0,9.0,2.0,2.0
46112.0,-156.969,-3.72835,602.0,9.0,2.0,2.0
46113.0,-125.037,1.60206,602.0,9.0,2.0,2.0
46114.0,-115.311,-6.25713,602.0,9.0,2.0,2.0
46115.0,-110.785,-2.59422,602.0,9.0,2.0,2.0
46116.0,-130.707,-5.96788,602.0,9.0,2.0,2.0
46181.0,-116.408,-23.2955,602.0,9.0,2.0,5.0
46182.0,-102.199,-20.5184,602.0,9.0,2.0,5.0
46183.0,-103.713,-18.6223,602.0,9.0,2.0,5.0
46184.0,-153.128,-38.866,602.0,9.0,2.0,5.0
46185.0,-102.515,-29.99,602.0,9.0,2.0,5.0
46186.0,-113.385,-29.1076,602.0,9.0,2.0,5.0
46187.0,-110.699,-32.0201,602.0,9.0,2.0,5.0
46188.0,-101.665,-23.0986,602.0,9.0,2.0,5.0
46189.0,-115.287,-29.4523,602.0,9.0,2.0,5.0
46190.0,-52.5037,-26.9703,602.0,9.0,2.0,6.0
46191.0,-56.595,-26.5002,602.0,9.0,2.0,6.0
46192.0,-44.4919,-17.1032,602.0,9.0,2.0,6.0
46193.0,-44.5548,-18.2658,602.0,9.0,2.0,6.0
46194.0,-63.9625,-24.7352,602.0,9.0,2.0,6.0
46195.0,-93.7305,-34.3596,602.0,9.0,2.0,6.0
46196.0,-35.8074,-15.6166,602.0,9.0,2.0,6.0
46197.0,-32.0495,-15.7919,602.0,9.0,2.0,6.0
46198.0,-29.8392,-13.6316,602.0,9.0,2.0,6.0
46199.0,-66.9201,-30.2358,602.0,9.0,2.0,6.0
46200.0,-58.5622,-30.1292,602.0,9.0,2.0,6.0
46201.0,-60.9813,-29.183,602.0,9.0,2.0,6.0
46202.0,-27.7083,-18.7563,602.0,9.0,2.0,6.0
46203.0,-31.5256,-8.97229,602.0,9.0,2.0,6.0
46204.0,-72.7995,-36.0265,602.0,9.0,2.0,6.0
46205.0,-25.8827,-17.8918,602.0,9.0,2.0,6.0
46206.0,-33.9866,-7.3398,602.0,9.0,2.0,6.0
46207.0,-29.1867,-18.8815,602.0,9.0,2.0,6.0
46208.0,-70.8532,-31.3237,602.0,9.0,2.0,6.0
46209.0,-53.964,-13.45,602.0,9.0,2.0,6.0
46210.0,-33.2811,-19.8198,602.0,9.0,2.0,6.0
46211.0,-85.5736,-31.7556,602.0,9.0,2.0,6.0
46212.0,-61.8609,-19.3728,602.0,9.0,2.0,6.0
46213.0,-32.8192,-21.5768,602.0,9.0,2.0,6.0
46214.0,-56.3307,-18.7598,602.0,9.0,2.0,6.0
46215.0,-54.6185,-30.3899,602.0,9.0,2.0,6.0
46216.0,-39.5996,-21.1382,602.0,9.0,2.0,6.0
46217.0,-26.6615,-15.1296,602.0,9.0,2.0,6.0
46218.0,-86.9099,-41.6007,602.0,9.0,2.0,6.0
46219.0,-60.6328,-18.81,602.0,9.0,2.0,6.0
46220.0,-43.4975,-17.9157,602.0,9.0,2.0,6.0
46221.0,-60.5205,-18.4929,602.0,9.0,2.0,6.0
46222.0,-30.2661,-6.63799,602.0,9.0,2.0,6.0
46223.0,-74.4514,-30.8658,602.0,9.0,2.0,6.0
46224.0,-52.8947,-29.6218,602.0,9.0,2.0,6.0
46225.0,-67.9684,-34.0254,602.0,9.0,2.0,6.0
46226.0,-27.4188,-18.9611,602.0,9.0,2.0,6.0
46227.0,-59.8361,-27.9509,602.0,9.0,2.0,6.0
46228.0,-36.3994,-22.7892,602.0,9.0,2.0,6.0
46229.0,-31.3675,-11.5587,602.0,9.0,2.0,6.0
46230.0,-37.6174,-17.5013,602.0,9.0,2.0,6.0
46231.0,-32.5191,-12.3063,602.0,9.0,2.0,6.0
46232.0,-48.7239,-16.5831,602.0,9.0,2.0,6.0
46233.0,-39.7548,-8.21373,602.0,9.0,2.0,6.0
46234.0,-30.7287,-16.9225,602.0,9.0,2.0,6.0
46235.0,-36.3945,-12.5044,602.0,9.0,2.0,6.0
46236.0,-46.3687,-12.0898,602.0,9.0,2.0,6.0
46237.0,-33.3199,-9.932,602.0,9.0,2.0,6.0
46238.0,-43.7482,-22.5318,602.0,9.0,2.0,6.0
46239.0,-30.3903,-13.183,602.0,9.0,2.0,6.0
46240.0,-95.2189,-34.9761,602.0,9.0,2.0,6.0
46241.0,-33.6446,-18.9962,602.0,9.0,2.0,6.0
46242.0,-44.0771,-12.5477,602.0,9.0,2.0,6.0
46243.0,-31.9676,-7.04474,602.0,9.0,2.0,6.0
46244.0,-30.8058,-6.88821,602.0,9.0,2.0,6.0
